id,CueIndex
1,VO_CHR_KNIGHTSSTORY_100042_02_04_0001
2,VO_CHR_KNIGHTSSTORY_100042_02_04_0002
3,VO_CHR_KNIGHTSSTORY_100042_02_04_0003
4,VO_CHR_KNIGHTSSTORY_100042_02_04_0004
5,VO_CHR_KNIGHTSSTORY_100042_02_04_0005
6,VO_CHR_KNIGHTSSTORY_100042_02_04_0006
7,VO_CHR_KNIGHTSSTORY_100042_02_04_0007
8,VO_CHR_KNIGHTSSTORY_100042_02_04_0008
9,VO_CHR_KNIGHTSSTORY_100042_02_04_0009
10,VO_CHR_KNIGHTSSTORY_100042_02_04_0010
11,VO_CHR_KNIGHTSSTORY_100042_02_04_0011
12,VO_CHR_KNIGHTSSTORY_100042_02_04_0012
13,VO_CHR_KNIGHTSSTORY_100042_02_04_0013
14,VO_CHR_KNIGHTSSTORY_100042_02_04_0014
15,VO_CHR_KNIGHTSSTORY_100042_02_04_0015
16,VO_CHR_KNIGHTSSTORY_100042_02_04_0016
17,VO_CHR_KNIGHTSSTORY_100042_02_04_0017
18,VO_CHR_KNIGHTSSTORY_100042_02_04_0018
19,VO_CHR_KNIGHTSSTORY_100042_02_04_0019
20,VO_CHR_KNIGHTSSTORY_100042_02_04_0020
21,VO_CHR_KNIGHTSSTORY_100042_02_04_0022
22,VO_CHR_KNIGHTSSTORY_100042_02_04_0023
23,VO_CHR_KNIGHTSSTORY_100042_02_04_0024
24,VO_CHR_KNIGHTSSTORY_100042_02_04_0025
25,VO_CHR_KNIGHTSSTORY_100042_02_04_0026
26,VO_CHR_KNIGHTSSTORY_100042_02_04_0027
27,VO_CHR_KNIGHTSSTORY_100042_02_04_0028
28,VO_CHR_KNIGHTSSTORY_100042_02_04_0029
29,VO_CHR_KNIGHTSSTORY_100042_02_04_0030
30,VO_CHR_KNIGHTSSTORY_100042_02_04_0031
31,VO_CHR_KNIGHTSSTORY_100042_02_04_0032
32,VO_CHR_KNIGHTSSTORY_100042_02_04_0033
