id,CueIndex
1,VO_CHR_EVENTSTORY_20408_01_0001
2,VO_CHR_EVENTSTORY_20408_01_0002
3,VO_CHR_EVENTSTORY_20408_01_0003
4,VO_CHR_EVENTSTORY_20408_01_0004
5,VO_CHR_EVENTSTORY_20408_01_0006
6,VO_CHR_EVENTSTORY_20408_01_0008
7,VO_CHR_EVENTSTORY_20408_01_0009
8,VO_CHR_EVENTSTORY_20408_01_0011
9,VO_CHR_EVENTSTORY_20408_01_0012
10,VO_CHR_EVENTSTORY_20408_01_0013
11,VO_CHR_EVENTSTORY_20408_01_0017
12,VO_CHR_EVENTSTORY_20408_01_0018
13,VO_CHR_EVENTSTORY_20408_01_0021
14,VO_CHR_EVENTSTORY_20408_01_0022
15,VO_CHR_EVENTSTORY_20408_01_0023
16,VO_CHR_EVENTSTORY_20408_01_0024
17,VO_CHR_EVENTSTORY_20408_01_0025
18,VO_CHR_EVENTSTORY_20408_01_0026
19,VO_CHR_EVENTSTORY_20408_01_0027
20,VO_CHR_EVENTSTORY_20408_01_0028
21,VO_CHR_EVENTSTORY_20408_01_0029
22,VO_CHR_EVENTSTORY_20408_01_0030
23,VO_CHR_EVENTSTORY_20408_01_0031
24,VO_CHR_EVENTSTORY_20408_01_0032
25,VO_CHR_EVENTSTORY_20408_01_0033
26,VO_CHR_EVENTSTORY_20408_01_0034
27,VO_CHR_EVENTSTORY_20408_01_0035
28,VO_CHR_EVENTSTORY_20408_01_0037
29,VO_CHR_EVENTSTORY_20408_01_0038
30,VO_CHR_EVENTSTORY_20408_01_0039
31,VO_CHR_EVENTSTORY_20408_01_0040
32,VO_CHR_EVENTSTORY_20408_01_0041
33,VO_CHR_EVENTSTORY_20408_01_0042
34,VO_CHR_EVENTSTORY_20408_01_0043
35,VO_CHR_EVENTSTORY_20408_01_0044
36,VO_CHR_EVENTSTORY_20408_01_0045
37,VO_CHR_EVENTSTORY_20408_01_0046
38,VO_CHR_EVENTSTORY_20408_01_0047
39,VO_CHR_EVENTSTORY_20408_01_0048
40,VO_CHR_EVENTSTORY_20408_01_0049
41,VO_CHR_EVENTSTORY_20408_01_0050
42,VO_CHR_EVENTSTORY_20408_01_0051
43,VO_CHR_EVENTSTORY_20408_01_0052
44,VO_CHR_EVENTSTORY_20408_01_0053
45,VO_CHR_EVENTSTORY_20408_01_0054
46,VO_CHR_EVENTSTORY_20408_01_0055
47,VO_CHR_EVENTSTORY_20408_01_0056
48,VO_CHR_EVENTSTORY_20408_01_0057
49,VO_CHR_EVENTSTORY_20408_01_0058
50,VO_CHR_EVENTSTORY_20408_01_0059
51,VO_CHR_EVENTSTORY_20408_01_0060
52,VO_CHR_EVENTSTORY_20408_01_0061
53,VO_CHR_EVENTSTORY_20408_01_0062
54,VO_CHR_EVENTSTORY_20408_01_0063
55,VO_CHR_EVENTSTORY_20408_01_0064
56,VO_CHR_EVENTSTORY_20408_01_0065
57,VO_CHR_EVENTSTORY_20408_01_0066
58,VO_CHR_EVENTSTORY_20408_01_0067
59,VO_CHR_EVENTSTORY_20408_01_0068
60,VO_CHR_EVENTSTORY_20408_01_0069
61,VO_CHR_EVENTSTORY_20408_01_0070
62,VO_CHR_EVENTSTORY_20408_01_0071
63,VO_CHR_EVENTSTORY_20408_01_0072
64,VO_CHR_EVENTSTORY_20408_01_0073
65,VO_CHR_EVENTSTORY_20408_01_0074
66,VO_CHR_EVENTSTORY_20408_01_0075
67,VO_CHR_EVENTSTORY_20408_01_0076
68,VO_CHR_EVENTSTORY_20408_01_0077
69,VO_CHR_EVENTSTORY_20408_01_0078
70,VO_CHR_EVENTSTORY_20408_01_0079
71,VO_CHR_EVENTSTORY_20408_01_0080
72,VO_CHR_EVENTSTORY_20408_01_0081
73,VO_CHR_EVENTSTORY_20408_01_0082
74,VO_CHR_EVENTSTORY_20408_01_0083
75,VO_CHR_EVENTSTORY_20408_01_0084
76,VO_CHR_EVENTSTORY_20408_01_0085
77,VO_CHR_EVENTSTORY_20408_01_0086
78,VO_CHR_EVENTSTORY_20408_01_0087
79,VO_CHR_EVENTSTORY_20408_01_0088
80,VO_CHR_EVENTSTORY_20408_01_0089
81,VO_CHR_EVENTSTORY_20408_01_0091
82,VO_CHR_EVENTSTORY_20408_01_0092
83,VO_CHR_EVENTSTORY_20408_01_0093
84,VO_CHR_EVENTSTORY_20408_01_0094
85,VO_CHR_EVENTSTORY_20408_01_0095
