id,CueIndex
1,VO_CHR_KNIGHTSSTORY_110010_01_00_0001
2,VO_CHR_KNIGHTSSTORY_110010_01_00_0002
3,VO_CHR_KNIGHTSSTORY_110010_01_00_0003
4,VO_CHR_KNIGHTSSTORY_110010_01_00_0004
5,VO_CHR_KNIGHTSSTORY_110010_01_00_0005
6,VO_CHR_KNIGHTSSTORY_110010_01_00_0006
7,VO_CHR_KNIGHTSSTORY_110010_01_00_0007
8,VO_CHR_KNIGHTSSTORY_110010_01_00_0008
9,VO_CHR_KNIGHTSSTORY_110010_01_00_0009
10,VO_CHR_KNIGHTSSTORY_110010_01_00_0010
11,VO_CHR_KNIGHTSSTORY_110010_01_00_0011
12,VO_CHR_KNIGHTSSTORY_110010_01_00_0012
13,VO_CHR_KNIGHTSSTORY_110010_01_00_0013
14,VO_CHR_KNIGHTSSTORY_110010_01_00_0014
15,VO_CHR_KNIGHTSSTORY_110010_01_00_0015
16,VO_CHR_KNIGHTSSTORY_110010_01_00_0016
17,VO_CHR_KNIGHTSSTORY_110010_01_00_0017
18,VO_CHR_KNIGHTSSTORY_110010_01_00_0018
19,VO_CHR_KNIGHTSSTORY_110010_01_00_0019
20,VO_CHR_KNIGHTSSTORY_110010_01_00_0020
21,VO_CHR_KNIGHTSSTORY_110010_01_00_0021
22,VO_CHR_KNIGHTSSTORY_110010_01_00_0022
23,VO_CHR_KNIGHTSSTORY_110010_01_00_0023
24,VO_CHR_KNIGHTSSTORY_110010_01_00_0024
25,VO_CHR_KNIGHTSSTORY_110010_01_00_0025
26,VO_CHR_KNIGHTSSTORY_110010_01_00_0026
27,VO_CHR_KNIGHTSSTORY_110010_01_00_0027
28,VO_CHR_KNIGHTSSTORY_110010_01_00_0028
29,VO_CHR_KNIGHTSSTORY_110010_01_00_0029
30,VO_CHR_KNIGHTSSTORY_110010_01_00_0030
31,VO_CHR_KNIGHTSSTORY_110010_01_00_0031
32,VO_CHR_KNIGHTSSTORY_110010_01_00_0032
33,VO_CHR_KNIGHTSSTORY_110010_01_00_0033
34,VO_CHR_KNIGHTSSTORY_110010_01_00_0034
35,VO_CHR_KNIGHTSSTORY_110010_01_00_0035
