id,CueIndex
1,VO_CHR_KNIGHTSSTORY_100010_04_00_0001
2,VO_CHR_KNIGHTSSTORY_100010_04_00_0002
3,VO_CHR_KNIGHTSSTORY_100010_04_00_0003
4,VO_CHR_KNIGHTSSTORY_100010_04_00_0004
5,VO_CHR_KNIGHTSSTORY_100010_04_00_0005
6,VO_CHR_KNIGHTSSTORY_100010_04_00_0006
7,VO_CHR_KNIGHTSSTORY_100010_04_00_0007
8,VO_CHR_KNIGHTSSTORY_100010_04_00_0008
9,VO_CHR_KNIGHTSSTORY_100010_04_00_0009
10,VO_CHR_KNIGHTSSTORY_100010_04_00_0010
11,VO_CHR_KNIGHTSSTORY_100010_04_00_0011
12,VO_CHR_KNIGHTSSTORY_100010_04_00_0012
13,VO_CHR_KNIGHTSSTORY_100010_04_00_0013
14,VO_CHR_KNIGHTSSTORY_100010_04_00_0014
15,VO_CHR_KNIGHTSSTORY_100010_04_00_0015
16,VO_CHR_KNIGHTSSTORY_100010_04_00_0016
17,VO_CHR_KNIGHTSSTORY_100010_04_00_0017
18,VO_CHR_KNIGHTSSTORY_100010_04_00_0018
19,VO_CHR_KNIGHTSSTORY_100010_04_00_0019
20,VO_CHR_KNIGHTSSTORY_100010_04_00_0020
21,VO_CHR_KNIGHTSSTORY_100010_04_00_0021
22,VO_CHR_KNIGHTSSTORY_100010_04_00_0022
23,VO_CHR_KNIGHTSSTORY_100010_04_00_0022a
24,VO_CHR_KNIGHTSSTORY_100010_04_00_0022b
25,VO_CHR_KNIGHTSSTORY_100010_04_00_0023
26,VO_CHR_KNIGHTSSTORY_100010_04_00_0024
27,VO_CHR_KNIGHTSSTORY_100010_04_00_0025
28,VO_CHR_KNIGHTSSTORY_100010_04_00_0026
29,VO_CHR_KNIGHTSSTORY_100010_04_00_0027
30,VO_CHR_KNIGHTSSTORY_100010_04_00_0028
31,VO_CHR_KNIGHTSSTORY_100010_04_00_0029
32,VO_CHR_KNIGHTSSTORY_100010_04_00_0030
33,VO_CHR_KNIGHTSSTORY_100010_04_00_0031
34,VO_CHR_KNIGHTSSTORY_100010_04_00_0032
35,VO_CHR_KNIGHTSSTORY_100010_04_00_0033
36,VO_CHR_KNIGHTSSTORY_100010_04_00_0034
37,VO_CHR_KNIGHTSSTORY_100010_04_00_0035
38,VO_CHR_KNIGHTSSTORY_100010_04_00_0036
39,VO_CHR_KNIGHTSSTORY_100010_04_00_0037
40,VO_CHR_KNIGHTSSTORY_100010_04_00_0038
41,VO_CHR_KNIGHTSSTORY_100010_04_00_0039
42,VO_CHR_KNIGHTSSTORY_100010_04_00_0040
43,VO_CHR_KNIGHTSSTORY_100010_04_00_0041
44,VO_CHR_KNIGHTSSTORY_100010_04_00_0042
45,VO_CHR_KNIGHTSSTORY_100010_04_00_0043
46,VO_CHR_KNIGHTSSTORY_100010_04_00_0044
47,VO_CHR_KNIGHTSSTORY_100010_04_00_0045
48,VO_CHR_KNIGHTSSTORY_100010_04_00_0046
49,VO_CHR_KNIGHTSSTORY_100010_04_00_0047
