id,CueIndex
1,VO_DRG_210036_STORY_0001
2,VO_DRG_210036_STORY_0002
3,VO_DRG_210036_STORY_0003
4,VO_DRG_210036_STORY_0004
5,VO_DRG_210036_STORY_0005
6,VO_DRG_210036_STORY_0006
7,VO_DRG_210036_STORY_0007
