id,CueIndex
1,VO_DRG_200008_STORY_0001
2,VO_DRG_200008_STORY_0002
3,VO_DRG_200008_STORY_0003
4,VO_DRG_200008_STORY_0004
5,VO_DRG_200008_STORY_0005
6,VO_DRG_200008_STORY_0006
7,VO_DRG_200008_STORY_0007
8,VO_DRG_200008_STORY_0008
9,VO_DRG_200008_STORY_0009
10,VO_DRG_200008_STORY_0010
11,VO_DRG_200008_STORY_0011
12,VO_DRG_200008_STORY_0012
