id,CueIndex
1,VO_CHR_EVENTSTORY_21003_01_0001
2,VO_CHR_EVENTSTORY_21003_01_0002
3,VO_CHR_EVENTSTORY_21003_01_0003
4,VO_CHR_EVENTSTORY_21003_01_0004
5,VO_CHR_EVENTSTORY_21003_01_0005
6,VO_CHR_EVENTSTORY_21003_01_0006
